station,valid,tmpf
3A1,2006-01-01 22:00,60.80
MDQ,2006-01-01 22:00,62.60
AUO,2006-01-01 22:15,62.60
ANB,2006-01-01 22:19,62.60
3A1,2006-01-01 22:20,60.80
ALX,2006-01-01 22:20,62.60
MDQ,2006-01-01 22:20,62.60
DHN,2006-01-01 22:28,62.60
ANB,2006-01-01 22:34,62.60
AUO,2006-01-01 22:35,62.60
BHM,2006-01-01 22:53,64.04
TCL,2006-01-01 22:53,68.00
HSV,2006-01-01 22:53,62.96
ANB,2006-01-01 22:53,62.96
MSL,2006-01-01 22:53,64.94
MGM,2006-01-01 22:53,62.96
DHN,2006-01-01 22:53,64.04
AUO,2006-01-01 22:55,62.60
MOB,2006-01-01 22:56,71.06
MDQ,2006-01-01 23:00,62.60
3A1,2006-01-01 23:00,60.80
ANB,2006-01-01 23:00,62.60
ALX,2006-01-01 23:00,64.40
DHN,2006-01-01 23:06,64.40
ANB,2006-01-01 23:11,62.60
AUO,2006-01-01 23:15,62.60
3A1,2006-01-01 23:20,62.60
MDQ,2006-01-01 23:20,62.60
ALX,2006-01-01 23:20,64.40
DHN,2006-01-01 23:22,62.60
DHN,2006-01-01 23:34,62.60
AUO,2006-01-01 23:35,62.60
ALX,2006-01-01 23:40,64.40
3A1,2006-01-01 23:40,64.40
ANB,2006-01-01 23:45,64.40
ANB,2006-01-01 23:53,64.94
MSL,2006-01-01 23:53,66.02
TCL,2006-01-01 23:53,69.08
DHN,2006-01-01 23:53,64.04
BHM,2006-01-01 23:53,64.94
MGM,2006-01-01 23:53,64.04
HSV,2006-01-01 23:53,64.04
AUO,2006-01-01 23:55,62.60
MOB,2006-01-01 23:56,71.96
3A1,2006-01-02 00:00,64.40
MDQ,2006-01-02 00:00,62.60
ALX,2006-01-02 00:01,64.40
ANB,2006-01-02 00:12,64.40
AUO,2006-01-02 00:15,62.60
MDQ,2006-01-02 00:20,62.60
ALX,2006-01-02 00:20,64.40
3A1,2006-01-02 00:20,64.40
DHN,2006-01-02 00:30,64.40
DHN,2006-01-02 00:33,64.40
AUO,2006-01-02 00:35,62.60
ALX,2006-01-02 00:40,64.40
3A1,2006-01-02 00:40,64.40
ANB,2006-01-02 00:53,64.94
BHM,2006-01-02 00:53,66.02
HSV,2006-01-02 00:53,64.94
TCL,2006-01-02 00:53,69.08
DHN,2006-01-02 00:53,62.96
MGM,2006-01-02 00:53,64.94
MSL,2006-01-02 00:53,66.92
AUO,2006-01-02 00:55,62.60
MOB,2006-01-02 00:56,71.96
3A1,2006-01-02 01:00,64.40
MDQ,2006-01-02 01:00,62.60
ALX,2006-01-02 01:00,66.20
AUO,2006-01-02 01:15,62.60
ALX,2006-01-02 01:20,68.00
3A1,2006-01-02 01:20,64.40
MDQ,2006-01-02 01:20,62.60
ANB,2006-01-02 01:26,64.40
AUO,2006-01-02 01:35,62.60
ANB,2006-01-02 01:41,62.60
HSV,2006-01-02 01:53,64.94
BHM,2006-01-02 01:53,64.94
MGM,2006-01-02 01:53,64.94
MSL,2006-01-02 01:53,66.02
ANB,2006-01-02 01:53,62.96
DHN,2006-01-02 01:53,62.96
TCL,2006-01-02 01:53,69.98
AUO,2006-01-02 01:55,62.60
MOB,2006-01-02 01:56,71.96
3A1,2006-01-02 02:00,64.40
MDQ,2006-01-02 02:00,62.60
ALX,2006-01-02 02:00,62.60
AUO,2006-01-02 02:15,62.60
ALX,2006-01-02 02:20,62.60
3A1,2006-01-02 02:20,64.40
DHN,2006-01-02 02:23,62.60
AUO,2006-01-02 02:35,62.60
3A1,2006-01-02 02:40,64.40
MDQ,2006-01-02 02:40,64.40
ALX,2006-01-02 02:40,64.40
BHM,2006-01-02 02:53,64.94
ANB,2006-01-02 02:53,64.04
DHN,2006-01-02 02:53,62.96
MGM,2006-01-02 02:53,64.04
MSL,2006-01-02 02:53,66.02
HSV,2006-01-02 02:53,64.94
TCL,2006-01-02 02:53,69.08
AUO,2006-01-02 02:55,62.60
MOB,2006-01-02 02:56,71.96
3A1,2006-01-02 03:00,64.40
ALX,2006-01-02 03:00,64.40
MDQ,2006-01-02 03:00,64.40
DHN,2006-01-02 03:01,62.60
ANB,2006-01-02 03:02,64.40
DHN,2006-01-02 03:09,62.60
ANB,2006-01-02 03:13,64.40
AUO,2006-01-02 03:15,62.60
3A1,2006-01-02 03:20,68.00
MDQ,2006-01-02 03:20,64.40
ALX,2006-01-02 03:20,62.60
AUO,2006-01-02 03:35,62.60
ANB,2006-01-02 03:37,64.40
ALX,2006-01-02 03:40,62.60
MDQ,2006-01-02 03:40,62.60
3A1,2006-01-02 03:40,68.00
DHN,2006-01-02 03:41,62.60
MSL,2006-01-02 03:53,66.02
DHN,2006-01-02 03:53,64.04
MGM,2006-01-02 03:53,64.94
BHM,2006-01-02 03:53,66.02
HSV,2006-01-02 03:53,66.02
TCL,2006-01-02 03:53,69.08
ANB,2006-01-02 03:53,66.02
AUO,2006-01-02 03:55,62.60
MOB,2006-01-02 03:56,71.96
MDQ,2006-01-02 04:00,62.60
ALX,2006-01-02 04:00,62.60
3A1,2006-01-02 04:00,68.00
DHN,2006-01-02 04:05,64.40
AUO,2006-01-02 04:15,62.60
ALX,2006-01-02 04:20,62.60
MDQ,2006-01-02 04:20,64.40
3A1,2006-01-02 04:20,68.00
DHN,2006-01-02 04:21,64.40
ANB,2006-01-02 04:22,66.20
DHN,2006-01-02 04:29,64.40
AUO,2006-01-02 04:35,62.60
MDQ,2006-01-02 04:40,62.60
DHN,2006-01-02 04:40,66.20
ANB,2006-01-02 04:40,66.20
TCL,2006-01-02 04:53,69.08
MGM,2006-01-02 04:53,66.02
ANB,2006-01-02 04:53,66.92
HSV,2006-01-02 04:53,64.04
BHM,2006-01-02 04:53,66.92
DHN,2006-01-02 04:53,66.92
MSL,2006-01-02 04:53,66.92
